# Files the two Wado parsers disagree about, as of the last
# `scripts/check-grammar.sh --update`. Regenerated, not hand-edited.
#
#   gale-rejects   Wado.g4 reports a syntax error where the compiler parses
#                  cleanly — a grammar gap. This side must reach zero.
#   gale-accepts   the compiler's parser rejects where Wado.g4 is happy. Most
#                  of these are rules no context-free grammar can state (a
#                  chained `!=`, a non-trailing default argument, `#[serde]`
#                  spelled out in a diagnostic), so they stay.
#
# kind<TAB>path<TAB>line<TAB>message
gale-rejects	wado-compiler/tests/fixtures/cross_module_same_name_trait_two_impls.wado	10	unexpected input "struct"
gale-rejects	wado-compiler/tests/fixtures/default_arg_closure_rejected_error.wado	5	expected '|'; got "="
gale-rejects	wado-compiler/tests/fixtures/default_arg_control_flow_value.wado	23	unexpected input "fn"
gale-rejects	wado-compiler/tests/fixtures/default_arg_inner_binding_shadows_param.wado	32	unexpected input "fn"
gale-rejects	wado-compiler/tests/fixtures/effect_generic_with_handler_error.wado	24	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_break_label_cross.wado	26	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_bundled.wado	35	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_bundled_helper_effects.wado	24	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_bundled_mixed.wado	47	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_bundled_value.wado	46	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_continue_cross.wado	26	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_cross_function.wado	26	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_early_return.wado	27	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_inner_break.wado	23	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_nested_same.wado	23	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_resource_fields.wado	35	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_resource_future.wado	30	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_resource_stream.wado	29	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_resource_stream_self_delegation.wado	28	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_resume.wado	29	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_self_delegation.wado	24	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_handler_with_do.wado	23	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_op_variant_arg_infer.wado	11	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/effect_resume_outside_handler.wado	9	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/enum_mut_self_method.wado	21	expected RBRACE; got "State"
gale-rejects	wado-compiler/tests/fixtures/error_assoc_type_bound_violated.wado	8	unexpected input "trait"
gale-rejects	wado-compiler/tests/fixtures/error_import_interface_fn_shadows_declaration.wado	3	unexpected input "use"
gale-rejects	wado-compiler/tests/fixtures/error_trait_supertrait_cycle.wado	3	unexpected input "trait"
gale-rejects	wado-compiler/tests/fixtures/hfs_letdestructure_loop_local.wado	22	expected '_', 'mut', IDENTIFIER, 'from', 'of', 'type', 'matches', 'stores', 'world', 'interface', 'resource', 'import', 'export', 'reactive', 'unique', 'forward', 'trap', 'effect', 'flags', 'variant', INTEGER, FLOAT, STRING_LITERAL, BACKTICK, CHAR_LITERAL, 'true', 'false', 'null', '-', LBRACE, '(' or '['; no alternative of patternPrimary matches
gale-rejects	wado-compiler/tests/fixtures/hfs_match_guard_cross_arm_side_effect.wado	60	expected RBRACE; got "_"
gale-rejects	wado-compiler/tests/fixtures/http_uninit_string_conditional_trap.wado	21	expected '='; got ";"
gale-rejects	wado-compiler/tests/fixtures/httpbin_server_404.wado	7	expected '='; got ";"
gale-rejects	wado-compiler/tests/fixtures/httpbin_server_hello.wado	7	expected '='; got ";"
gale-rejects	wado-compiler/tests/fixtures/if_merged.wado	167	unexpected input "&&"
gale-rejects	wado-compiler/tests/fixtures/if_no_else_in_expression_position_rejects.wado	14	expected 'else'; got ";"
gale-rejects	wado-compiler/tests/fixtures/impl_unknown_trait_method_call_error.wado	17	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/kv_spread.wado	10	expected RBRACE; got ".."
gale-rejects	wado-compiler/tests/fixtures/labeled_block_error_tail_type_mismatch.wado	7	expected ';'; got ":"
gale-rejects	wado-compiler/tests/fixtures/labeled_block_tail_value.wado	13	unexpected input "test"
gale-rejects	wado-compiler/tests/fixtures/local_item_in_match_arm.wado	17	expected RBRACE; got "_"
gale-rejects	wado-compiler/tests/fixtures/local_item_struct_field_access_through_generic.wado	10	expected ';'; got "}"
gale-rejects	wado-compiler/tests/fixtures/match_char_range_switch.wado	7	expected RBRACE; got "'0'"
gale-rejects	wado-compiler/tests/fixtures/match_nested_or_range_pattern.wado	29	expected RBRACE; got "{"
gale-rejects	wado-compiler/tests/fixtures/match_switch_large_range_body_cost.wado	11	expected RBRACE; got "0"
gale-rejects	wado-compiler/tests/fixtures/match_switch_single_range_no_table.wado	7	expected RBRACE; got "0"
gale-rejects	wado-compiler/tests/fixtures/matches_scrutinee_precedence.wado	19	expected ';'; got "matches"
gale-rejects	wado-compiler/tests/fixtures/monomorphize_for_of_local_in_match_arm.wado	23	expected RBRACE; got "_"
