    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.26s
     Running tests/e2e.rs (target/debug/deps/e2e-02710646dbc0f7d8)

running 6962 tests
test fixture_test_o0::closure_auto_capture_mut_wado ... ok
test fixture_test_o0::closure_cm_boundary_import_error_wado ... ok
test fixture_test_o0::closure_cm_boundary_imported_struct_error_wado ... ok
test fixture_test_o0::closure_cm_boundary_param_error_wado ... ok
test fixture_test_o0::closure_bound_with_multi_effect_wado ... ok
test fixture_test_o0::closure_cm_boundary_return_error_wado ... ok
test fixture_test_o0::closure_cm_boundary_struct_field_error_wado ... ok
test fixture_test_o0::closure_cm_boundary_variant_payload_error_wado ... ok
test fixture_test_o0::closure_effect_generic_wado ... ok
test fixture_test_o0::closure_field_mutation_wado ... ok
test fixture_test_o0::closure_escapes_effect_todo_wado ... ok
test fixture_test_o0::closure_fn_bound_with_effect_param_wado ... ok
test fixture_test_o0::closure_fn_bound_with_regular_type_param_wado ... ok
test fixture_test_o0::closure_fn_mut_basic_wado ... ok
test fixture_test_o0::closure_generic_bound_fn_wado ... ok
test fixture_test_o0::closure_for_loop_mutation_wado ... ok
test fixture_test_o0::closure_iflet_template_collision_wado ... ok
test fixture_test_o0::closure_iterator_effectful_wado ... ok
test fixture_test_o0::closure_match_body_mutation_wado ... ok
test fixture_test_o0::closure_iterator_fn_mut_wado ... ok
test fixture_test_o0::closure_method_fn_bound_wado ... ok
test fixture_test_o0::closure_mut_binding_required_error_wado ... ok
test fixture_test_o0::closure_mut_binding_required_via_index_error_wado ... ok
test fixture_test_o0::closure_mut_binding_required_via_field_error_wado ... ok
test fixture_test_o0::closure_mut_binding_required_via_index_field_error_wado ... ok
test fixture_test_o0::closure_mut_binding_required_via_nested_field_error_wado ... ok
test fixture_test_o0::closure_mut_binding_temporary_root_wado ... ok
test fixture_test_o0::closure_mut_binding_via_field_wado ... ok
test fixture_test_o0::closure_mut_binding_via_index_wado ... ok
test fixture_test_o0::closure_mut_param_required_error_wado ... ok
test fixture_test_o0::closure_nested_literal_wado ... ok
test fixture_test_o0::closure_subtyping_fn_mut_to_fn_error_wado ... ok
test fixture_test_o0::closure_param_pattern_temp_wado ... ok
test fixture_test_o0::closure_subtyping_fn_to_fn_mut_wado ... ok
test fixture_test_o0::closure_template_local_collision_wado ... ok
test fixture_test_o0::cm_error_context_wado ... ok
test fixture_test_o0::cm_future_partial_use_destructure_wado ... ok
test fixture_test_o0::cm_future_read_cli_wado ... ok
test fixture_test_o0::cm_future_read_wado ... ok
test fixture_test_o0::cm_stream_read_record_in_branch_wado ... ok
test fixture_test_o0::cm_subtask_join_wado ... ok
test fixture_test_o0::cm_waitable_set_new_wado ... ok
test fixture_test_o0::cm_waitable_set_poll_wado ... ok
test fixture_test_o0::coerce_float_literal_args_wado ... ok
test fixture_test_o0::coerce_float_literal_return_wado ... ok
test fixture_test_o0::coerce_float_literal_let_wado ... ok
test fixture_test_o0::coerce_float_wado ... ok
test fixture_test_o0::coerce_i128_u128_wado ... ok
test fixture_test_o0::coerce_int_1_wado ... ok
test fixture_test_o0::coerce_int_3_wado ... ok
test fixture_test_o0::coerce_int_4_wado ... ok
test fixture_test_o0::coerce_int_2_wado ... ok
test fixture_test_o0::coerce_invalid_i128_underflow_wado ... ok
test fixture_test_o0::coerce_invalid_i128_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_i16_hex_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_i128_hex_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_i16_underflow_wado ... ok
test fixture_test_o0::coerce_invalid_i32_binary_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_i16_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_i32_hex_bit_pattern_wado ... ok
test fixture_test_o0::coerce_invalid_i32_octal_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_i32_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_i32_hex_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_i32_underflow_wado ... ok
test fixture_test_o0::coerce_invalid_i64_hex_bit_pattern_wado ... ok
test fixture_test_o0::coerce_invalid_i8_binary_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_i64_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_i8_hex_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_i8_octal_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_i8_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_i8_underflow_wado ... ok
test fixture_test_o0::coerce_invalid_u128_hex_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_u128_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_u16_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_u16_negative_wado ... ok
test fixture_test_o0::coerce_invalid_u32_negative_wado ... ok
test fixture_test_o0::coerce_invalid_u32_overflow_wado ... ok
test fixture_test_o0::coerce_invalid_u64_negative_wado ... ok
test fixture_test_o0::coerce_invalid_u8_negative_wado ... ok
test fixture_test_o0::coerce_invalid_u8_overflow_wado ... ok
test fixture_test_o0::coerce_match_arm_wado ... ok
test fixture_test_o0::cold_path_fallthrough_wado ... ok
test fixture_test_o0::coerce_struct_field_wado ... ok
test fixture_test_o0::cold_path_wado ... ok
test fixture_test_o0::compiler_item_attr_unknown_name_rejected_wado ... ok
test fixture_test_o0::compiler_item_attr_user_module_rejected_wado ... ok
test fixture_test_o0::comparison_chain_side_effects_wado ... ok
test fixture_test_o0::compound_assign_basic_wado ... ok
test fixture_test_o0::concrete_impl_method_generics_wado ... ok
test fixture_test_o0::concrete_impl_nested_generic_wado ... ok
test fixture_test_o0::concrete_impl_inherent_wado ... ok
test fixture_test_o0::concrete_impl_nested_wrong_wado ... ok
test fixture_test_o0::concrete_impl_wrong_instantiation_wado ... ok
test fixture_test_o0::concrete_impl_trait_wado ... ok
test fixture_test_o0::concrete_impl_param_name_collision_wado ... ok
test fixture_test_o0::condition_implication_field_chain_bound_wado ... ok
test fixture_test_o0::condition_implication_stale_def_soundness_wado ... ok
test fixture_test_o0::const_fold_wado ... ok
test fixture_test_o0::const_global_dedup_refeq_wado ... ok
test fixture_test_o0::const_global_dedup_wado ... ok
test fixture_test_o0::const_global_entry_wado ... ok
test fixture_test_o0::const_global_object_wado ... ok
test fixture_test_o0::const_global_scalar_read_wado ... ok
test fixture_test_o0::const_object_globalization_wado ... ok
test fixture_test_o0::contextual_keyword_wado ... ok
test fixture_test_o0::copy_prop_mutable_source_wado ... ok
test fixture_test_o0::copy_prop_struct_method_mut_self_wado ... ok
test fixture_test_o0::cross_destruct_patterns_wado ... ok
test fixture_test_o0::cross_module_generic_deep_wado ... ok
test fixture_test_o0::cross_module_generic_helper_wado ... ok
test fixture_test_o0::cross_module_generic_import_wado ... ok
test fixture_test_o0::cross_module_same_name_effect_aliased_wado ... ok
test fixture_test_o0::cross_module_same_name_effect_wado ... ok
test fixture_test_o0::cross_module_same_name_flags_wado ... ok
test fixture_test_o0::cross_module_same_name_enum_wado ... ok
test fixture_test_o0::cross_module_same_name_fn_infer_wado ... ok
test fixture_test_o0::cross_module_same_name_fn_wado ... ok
test fixture_test_o0::cross_module_same_name_generic_wado ... ok
test fixture_test_o0::cross_module_same_name_foreign_impl_wado ... ok
test fixture_test_o0::cross_module_same_name_inspect_wado ... ok
test fixture_test_o0::cross_module_same_name_method_wado ... ok
test fixture_test_o0::cross_module_same_name_resource_wado ... ok
test fixture_test_o0::cross_module_same_name_newtype_wado ... ok
test fixture_test_o0::cross_module_same_name_static_wado ... ok
test fixture_test_o0::cross_module_same_name_struct_iter_wado ... ok
test fixture_test_o0::cross_module_same_name_trait_direct_wado ... ok
test fixture_test_o0::cross_module_same_name_struct_wado ... ok
test fixture_test_o0::cross_module_same_name_variant_iflet_wado ... ok
